Word	Plurality	Gender	AnAbbreviationFor	AbbreviatedFrom	AnAcronymFor	irregularPluralForm	IsCompound	IsCountable	AcceptsZeroArticle	IsProperName	Compliments	BaseForm	Animacy	location	howCommon	commonRank	propBank	frame
Meera	--	Masculine	--	--	--	--	false	null	null	true	--	Meera	Human	false	-1.0	-1	--
Socorro	--	Feminine	--	--	--	--	false	null	null	true	--	Socorro	Human	false	-1.0	-1	--
Ardell	--	Feminine	--	--	--	--	false	null	null	true	--	Ardell	Human	false	-1.0	-1	--
Lomash	--	Masculine	--	--	--	--	false	null	null	true	--	Lomash	Human	false	-1.0	-1	--
Anoushka	--	Feminine	--	--	--	--	false	null	null	true	--	Anoushka	Human	false	-1.0	-1	--
Nandish	--	Masculine	--	--	--	--	false	null	null	true	--	Nandish	Human	false	-1.0	-1	--
Ahd	--	Feminine	--	--	--	--	false	null	null	true	--	Ahd	Human	false	-1.0	-1	--
Dino	--	Masculine	--	--	--	--	false	null	null	true	--	Dino	Human	false	-1.0	-1	--
Snehanshn	--	Masculine	--	--	--	--	false	null	null	true	--	Snehanshn	Human	false	-1.0	-1	--
Biren	--	Masculine	--	--	--	--	false	null	null	true	--	Biren	Human	false	-1.0	-1	--
Aritra	--	Masculine	--	--	--	--	false	null	null	true	--	Aritra	Human	false	-1.0	-1	--
Mervin	--	Masculine	--	--	--	--	false	null	null	true	--	Mervin	Human	false	-1.0	-1	--
Emmett	--	Masculine	--	--	--	--	false	null	null	true	--	Emmett	Human	false	-1.0	-1	--
Narayana	--	Masculine	--	--	--	--	false	null	null	true	--	Narayana	Human	false	-1.0	-1	--
Adithya	--	Masculine	--	--	--	--	false	null	null	true	--	Adithya	Human	false	-1.0	-1	--
Takehito	--	Masculine	--	--	--	--	false	null	null	true	--	Takehito	Human	false	-1.0	-1	--
Honglin	--	Masculine	--	--	--	--	false	null	null	true	--	Honglin	Human	false	-1.0	-1	--
Suzu	--	Masculine	--	--	--	--	false	null	null	true	--	Suzu	Human	false	-1.0	-1	--
Indrajit	--	Masculine	--	--	--	--	false	null	null	true	--	Indrajit	Human	false	-1.0	-1	--
Joakim	--	Masculine	--	--	--	--	false	null	null	true	--	Joakim	Human	false	-1.0	-1	--
Nawfal	--	Masculine	--	--	--	--	false	null	null	true	--	Nawfal	Human	false	-1.0	-1	--
Keiichiro	--	Masculine	--	--	--	--	false	null	null	true	--	Keiichiro	Human	false	-1.0	-1	--
Sadako	--	Feminine	--	--	--	--	false	null	null	true	--	Sadako	Human	false	-1.0	-1	--
Wilton	--	Masculine	--	--	--	--	false	null	null	true	--	Wilton	Human	false	-1.0	-1	--
Branimir	--	Masculine	--	--	--	--	false	null	null	true	--	Branimir	Human	false	-1.0	-1	--
Asuka	--	Feminine	--	--	--	--	false	null	null	true	--	Asuka	Human	false	-1.0	-1	--
Dina	--	Feminine	--	--	--	--	false	null	null	true	--	Dina	Human	false	-1.0	-1	--
Aja	--	Feminine	--	--	--	--	false	null	null	true	--	Aja	Human	false	-1.0	-1	--
Vibhaas	--	Masculine	--	--	--	--	false	null	null	true	--	Vibhaas	Human	false	-1.0	-1	--
Srikant	--	Masculine	--	--	--	--	false	null	null	true	--	Srikant	Human	false	-1.0	-1	--
Rupert	--	Masculine	--	--	--	--	false	null	null	true	--	Rupert	Human	false	-1.0	-1	--
Dipu	--	Masculine	--	--	--	--	false	null	null	true	--	Dipu	Human	false	-1.0	-1	--
Mikito	--	Masculine	--	--	--	--	false	null	null	true	--	Mikito	Human	false	-1.0	-1	--
Umeshwar	--	Masculine	--	--	--	--	false	null	null	true	--	Umeshwar	Human	false	-1.0	-1	--
