Word	Plurality	Gender	AnAbbreviationFor	AbbreviatedFrom	AnAcronymFor	irregularPluralForm	IsCompound	IsCountable	AcceptsZeroArticle	IsProperName	Compliments	BaseForm	Animacy	location	howCommon	commonRank	propBank	frame
Woodbridge	--	Neuter	--	--	--	--	false	null	null	true	--	Woodbridge	Inanimate	true	-1.0	-1	--
Sinpo	--	Neuter	--	--	--	--	false	null	null	true	--	Sinpo	Inanimate	true	-1.0	-1	--
Ligao	--	Neuter	--	--	--	--	false	null	null	true	--	Ligao	Inanimate	true	-1.0	-1	--
Jiutepec	--	Neuter	--	--	--	--	false	null	null	true	--	Jiutepec	Inanimate	true	-1.0	-1	--
Fukuoka	--	Neuter	--	--	--	--	false	null	null	true	--	Fukuoka	Inanimate	true	-1.0	-1	--
Botucatu	--	Neuter	--	--	--	--	false	null	null	true	--	Botucatu	Inanimate	true	-1.0	-1	--
Khanna	--	Neuter	--	--	--	--	false	null	null	true	--	Khanna	Inanimate	true	-1.0	-1	--
Bahraich	--	Neuter	--	--	--	--	false	null	null	true	--	Bahraich	Inanimate	true	-1.0	-1	--
Cherkassy	--	Neuter	--	--	--	--	false	null	null	true	--	Cherkassy	Inanimate	true	-1.0	-1	--
Tanjung balai	--	Neuter	--	--	--	--	true	null	null	true	--	Tanjung balai	Inanimate	true	-1.0	-1	--
Cadiz	--	Neuter	--	--	--	--	false	null	null	true	--	Cadiz	Inanimate	true	-1.0	-1	--
Varamin	--	Neuter	--	--	--	--	false	null	null	true	--	Varamin	Inanimate	true	-1.0	-1	--
Itu	--	Neuter	--	--	--	--	false	null	null	true	--	Itu	Inanimate	true	-1.0	-1	--
Republic of ireland	--	Neuter	--	--	--	--	true	null	null	true	--	Republic of ireland	Inanimate	true	-1.0	-1	--
Bakersfield	--	Neuter	--	--	--	--	false	null	null	true	--	Bakersfield	Inanimate	true	-1.0	-1	--
Armenia	--	Neuter	--	--	--	--	false	null	null	true	--	Armenia	Inanimate	true	-1.0	-1	--
Mbandaka	--	Neuter	--	--	--	--	false	null	null	true	--	Mbandaka	Inanimate	true	-1.0	-1	--
Marsa matruh	--	Neuter	--	--	--	--	true	null	null	true	--	Marsa matruh	Inanimate	true	-1.0	-1	--
West virginia	--	Neuter	--	--	--	--	true	null	null	true	--	West virginia	Inanimate	true	-1.0	-1	--
Bangui/zongo	--	Neuter	--	--	--	--	false	null	null	true	--	Bangui/zongo	Inanimate	true	-1.0	-1	--
Wilmington	--	Neuter	--	--	--	--	false	null	null	true	--	Wilmington	Inanimate	true	-1.0	-1	--
San carlos	--	Neuter	--	--	--	--	true	null	null	true	--	San carlos	Inanimate	true	-1.0	-1	--
Escuintla	--	Neuter	--	--	--	--	false	null	null	true	--	Escuintla	Inanimate	true	-1.0	-1	--
Çanakkale	--	Neuter	--	--	--	--	false	null	null	true	--	Çanakkale	Inanimate	true	-1.0	-1	--
Barcelona	--	Neuter	--	--	--	--	false	null	null	true	--	Barcelona	Inanimate	true	-1.0	-1	--
Sitapur	--	Neuter	--	--	--	--	false	null	null	true	--	Sitapur	Inanimate	true	-1.0	-1	--
Toyota	--	Neuter	--	--	--	--	false	null	null	true	--	Toyota	Inanimate	true	-1.0	-1	--
Goyang	--	Neuter	--	--	--	--	false	null	null	true	--	Goyang	Inanimate	true	-1.0	-1	--
Bagdad	--	Neuter	--	--	--	--	false	null	null	true	--	Bagdad	Inanimate	true	-1.0	-1	--
Miandoab	--	Neuter	--	--	--	--	false	null	null	true	--	Miandoab	Inanimate	true	-1.0	-1	--
Puerto princesa	--	Neuter	--	--	--	--	true	null	null	true	--	Puerto princesa	Inanimate	true	-1.0	-1	--
Saïda	--	Neuter	--	--	--	--	false	null	null	true	--	Saïda	Inanimate	true	-1.0	-1	--
Dili	--	Neuter	--	--	--	--	false	null	null	true	--	Dili	Inanimate	true	-1.0	-1	--
Naguanagua	--	Neuter	--	--	--	--	false	null	null	true	--	Naguanagua	Inanimate	true	-1.0	-1	--
Tembisa	--	Neuter	--	--	--	--	false	null	null	true	--	Tembisa	Inanimate	true	-1.0	-1	--
Afghanistan	--	Neuter	--	--	--	--	false	null	null	true	--	Afghanistan	Inanimate	true	-1.0	-1	--
Bamenda	--	Neuter	--	--	--	--	false	null	null	true	--	Bamenda	Inanimate	true	-1.0	-1	--
Santarém	--	Neuter	--	--	--	--	false	null	null	true	--	Santarém	Inanimate	true	-1.0	-1	--
Manila	--	Neuter	--	--	--	--	false	null	null	true	--	Manila	Inanimate	true	-1.0	-1	--
Parintins	--	Neuter	--	--	--	--	false	null	null	true	--	Parintins	Inanimate	true	-1.0	-1	--
Souk ahras	--	Neuter	--	--	--	--	true	null	null	true	--	Souk ahras	Inanimate	true	-1.0	-1	--
Al-fasher	--	Neuter	--	--	--	--	false	null	null	true	--	Al-fasher	Inanimate	true	-1.0	-1	--
Unaiza	--	Neuter	--	--	--	--	false	null	null	true	--	Unaiza	Inanimate	true	-1.0	-1	--
Tartous	--	Neuter	--	--	--	--	false	null	null	true	--	Tartous	Inanimate	true	-1.0	-1	--
Dangjin	--	Neuter	--	--	--	--	false	null	null	true	--	Dangjin	Inanimate	true	-1.0	-1	--
Rostov-na-donu	--	Neuter	--	--	--	--	false	null	null	true	--	Rostov-na-donu	Inanimate	true	-1.0	-1	--
Elektrostal	--	Neuter	--	--	--	--	false	null	null	true	--	Elektrostal	Inanimate	true	-1.0	-1	--
Nantou	--	Neuter	--	--	--	--	false	null	null	true	--	Nantou	Inanimate	true	-1.0	-1	--
Paranaguá	--	Neuter	--	--	--	--	false	null	null	true	--	Paranaguá	Inanimate	true	-1.0	-1	--
Phatthalung	--	Neuter	--	--	--	--	false	null	null	true	--	Phatthalung	Inanimate	true	-1.0	-1	--
Larkana	--	Neuter	--	--	--	--	false	null	null	true	--	Larkana	Inanimate	true	-1.0	-1	--
Western conurbation	--	Neuter	--	--	--	--	true	null	null	true	--	Western conurbation	Inanimate	true	-1.0	-1	--
Thousand oaks	--	Neuter	--	--	--	--	true	null	null	true	--	Thousand oaks	Inanimate	true	-1.0	-1	--
Iquitos	--	Neuter	--	--	--	--	false	null	null	true	--	Iquitos	Inanimate	true	-1.0	-1	--
