Word	VerbType	Transivity	Tense	Aspect	Person	Phrasal	IsInfinitive	howCommon	commonRank	baseForm
unfeudalise	--	Transitive	--	--	N/A	No	null	-1.0	-1	feudalise	false
nitrogenise	--	Transitive	--	--	N/A	No	null	-1.0	-1	nitrogenise	false
frequent	--	Transitive	--	--	N/A	No	null	0.002581	3693	frequ	false
hypostatise	--	Transitive	--	--	N/A	No	null	-1.0	-1	hypostatise	false
coffeehoused	--	--	Past	--	N/A	No	null	-1.0	-1	coffeehe	false
churn out	--	Transitive	--	--	N/A	NotSeperable	null	-1.0	-1	churn out	false
constringing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	constring	false
overcompensate	--	Intransitive	--	--	N/A	No	null	-1.0	-1	compensate	false
superintend	--	tran=np	--	--	N/A	No	null	2.1E-5	63066	intend	false
fecundating	--	Transitive	Present	--	N/A	No	null	-1.0	-1	fecundate	false
crizzling	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	criz	false
array	--	Transitive	--	--	N/A	No	null	0.001202	6497	array	false
cryptanalyzing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	cryptanalyze	false
crepe	--	Transitive	--	--	N/A	No	null	5.9E-5	39254	crepe	false
untuning	--	Transitive	Present	--	N/A	No	null	-1.0	-1	tune	false
phlebotomised	--	Transitive	Past	--	N/A	No	null	-1.0	-1	phlebotomise	false
horsed	--	--	Past	--	N/A	No	null	-1.0	-1	hors	false
crept	--	--	--	--	N/A	No	null	8.4E-4	8238	creep	false
outbustled	--	Transitive	Past	--	N/A	No	null	-1.0	-1	outbustl	false
garrison	--	Transitive	--	--	N/A	No	null	5.3E-4	11242	garrison	false
incrassate	--	--	--	--	N/A	No	null	-1.0	-1	incrassate	false
preaccuse	--	Transitive	--	--	N/A	No	null	-1.0	-1	accuse	false
resubmit	--	tran=np+tran=fincomp(t)+ditran=np+pphr(to+np)	--	--	N/A	No	null	1.6E-5	70900	resubmit	false
fainaiguing	--	--	Present	--	N/A	No	null	-1.0	-1	fainaigu	false
hybridize	--	--	--	--	N/A	No	null	1.3E-5	79615	hybride	false
outedge	--	Transitive	--	--	N/A	No	null	-1.0	-1	outedge	false
ultracentrifuge	--	Transitive	--	--	N/A	No	null	-1.0	-1	centrifuge	false
mislay	--	tran=np	--	--	N/A	No	null	-1.0	-1	lay	false
overcommend	--	--	--	--	N/A	No	null	-1.0	-1	commend	false
drudge	--	Intransitive	--	--	N/A	No	null	1.9E-5	66980	drudge	false
creped	--	--	Past	--	N/A	No	null	-1.0	-1	crepe	false
packaged	--	--	Past	--	N/A	No	null	3.01E-4	16069	pack	false
reenlighten	--	Transitive	--	--	N/A	No	null	-1.0	-1	reenlight	false
cash in	--	Intransitive	--	--	N/A	Seperable	null	-1.0	-1	cash in	false
dissembled	--	--	Past	--	N/A	No	null	-1.0	-1	dissemble	false
sluiced	--	--	Past	--	N/A	No	null	2.4E-5	59934	slu	false
wizen	--	--	--	--	N/A	No	null	-1.0	-1	wize	false
idolatrize	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	idolatr	false
misclassified	--	Transitive	Past	--	N/A	No	null	-1.0	-1	classify	false
stand for	--	Intransitive	--	--	N/A	Seperable	null	-1.0	-1	stand	false
nomadise	--	Intransitive	--	--	N/A	No	null	-1.0	-1	nomadise	false
endure	--	Ambitransitive	--	--	N/A	No	null	5.64E-4	10838	endure	false
glaciated	--	--	Past	--	N/A	No	null	2.1E-5	63567	glaciat	false
federating	--	--	Present	--	N/A	No	null	-1.0	-1	federate	false
desiring	--	--	Present	--	N/A	No	null	8.2E-5	33274	desire	false
oophorectomizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	oophorectome	false
robbed	--	--	Past	--	N/A	No	null	6.17E-4	10196	rob	false
chivvy	--	Ambitransitive	--	--	N/A	No	null	1.2E-5	80709	chivvy	false
adrenalectomizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	adrenalectome	false
unsheathed	--	Transitive	Past	--	N/A	No	null	2.3E-5	60189	sheath	false
reacknowledge	--	Transitive	--	--	N/A	No	null	-1.0	-1	acknowledge	false
peeved	--	--	Past	--	N/A	No	null	6.0E-5	38995	peev	false
indulgence	--	Transitive	--	--	N/A	No	null	2.7E-4	17101	indulg	false
regradating	--	--	Present	--	N/A	No	null	-1.0	-1	gradate	false
misteach	--	Transitive	--	--	N/A	No	null	-1.0	-1	misteach	false
stave off	--	Transitive	--	--	N/A	NotSeperable	null	-1.0	-1	stave off	false
forejudged	--	Transitive	Past	--	N/A	No	null	-1.0	-1	forejudg	false
ammonolyzing	--	--	Present	--	N/A	No	null	-1.0	-1	ammonolyze	false
medaling	--	--	--	--	N/A	No	null	-1.0	-1	meda	false
gipping	--	Ambitransitive	Present	--	N/A	No	null	-1.0	-1	gip	false
rbound	--	--	--	--	N/A	No	null	-1.0	-1	rbound	false
civilise	--	Transitive	--	--	N/A	No	null	1.3E-5	78012	civilise	false
lumined	--	Transitive	Past	--	N/A	No	null	-1.0	-1	lumine	false
specialising	--	Intransitive	Present	--	N/A	No	null	3.41E-4	14864	specialise	false
resoak	--	tran=np+tran=pphr(in+np)+ditran=np+pphr(with+np)	--	--	N/A	No	null	-1.0	-1	resoak	false
upbuilding	--	Transitive	Present	--	N/A	No	null	-1.0	-1	build	false
aby	--	--	--	--	N/A	No	null	1.5E-5	74631	aby	false
outsinning	--	Transitive	Present	--	N/A	No	null	-1.0	-1	outsin	false
changeover	--	--	--	--	N/A	No	null	1.1E-4	28544	changeov	false
excogitating	--	Transitive	Present	--	N/A	No	null	-1.0	-1	excogitate	false
preoppose	--	Transitive	--	--	N/A	No	null	-1.0	-1	oppose	false
superincrease	--	Transitive	--	--	N/A	No	null	-1.0	-1	increase	false
ace	--	Transitive	--	--	N/A	No	null	0.002023	4440	ace	false
couple	--	Ambitransitive	--	--	N/A	No	null	0.013081	793	couple	false
reinfluencing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	reinfluenc	false
circumnavigated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	circumnavigate	false
espousing	--	Transitive	Present	--	N/A	No	null	3.3E-5	52227	espe	false
guffaw	--	--	--	--	N/A	No	null	2.8E-5	55321	guffaw	false
barbarise	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	barbarise	false
agreeing	--	--	Present	--	N/A	No	null	8.7E-4	8049	agree	false
act	--	Intransitive	--	--	N/A	No	null	0.028901	315	act	false
bitting	--	--	Present	--	N/A	No	null	-1.0	-1	bite	false
unfeudalize	--	Transitive	--	--	N/A	No	null	-1.0	-1	unfeudale	false
superinduce	--	Transitive	--	--	N/A	No	null	-1.0	-1	induce	false
truckled	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	truckl	false
imbrown	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	brown	false
manducate	--	Transitive	--	--	N/A	No	null	-1.0	-1	manducate	false
inhaling	--	--	--	--	N/A	No	null	8.6E-5	32419	inha	false
add	--	Ambitransitive	--	--	N/A	No	null	0.008668	1249	add	false
gesturing	--	--	Present	--	N/A	No	null	1.28E-4	26235	gesture	false
ratify	--	tran=np	--	--	N/A	No	null	2.06E-4	20080	ratify	false
preponderated	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	preponderate	false
preresembled	--	--	Past	--	N/A	No	null	-1.0	-1	preresemble	false
vivify	--	tran=np	--	--	N/A	No	null	-1.0	-1	vivify	false
check in	--	Transitive	--	--	N/A	Seperable	null	-1.0	-1	check in	false
marbleizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	marble	false
foozle	--	--	--	--	N/A	No	null	-1.0	-1	foozle	false
overhumanizing	--	--	Present	--	N/A	No	null	-1.0	-1	overhumane	false
outpromise	--	Transitive	--	--	N/A	No	null	-1.0	-1	outpromise	false
inclasp	--	Transitive	--	--	N/A	No	null	-1.0	-1	clasp	false
mitre	--	Transitive	--	--	N/A	No	null	1.08E-4	28759	mitre	false
flench	--	Transitive	--	--	N/A	No	null	-1.0	-1	flench	false
levant	--	Intransitive	--	--	N/A	No	null	8.3E-5	33070	lev	false
indited	--	Transitive	Past	--	N/A	No	null	-1.0	-1	indite	false
recharged	--	--	Past	--	N/A	No	null	4.7E-5	43540	recharg	false
riveting	--	--	Present	--	N/A	No	null	1.07E-4	28941	rivete	false
micrifying	--	Transitive	Present	--	N/A	No	null	-1.0	-1	micrifie	false
soft soap	--	--	--	--	N/A	NotSeperable	null	-1.0	-1	soft-soap	false
preexpand	--	Transitive	--	--	N/A	No	null	-1.0	-1	expand	false
self-chastised	--	Transitive	Past	--	N/A	No	null	-1.0	-1	chastise	false
wainscotted	--	--	Past	--	N/A	No	null	-1.0	-1	wainscot	false
greased	--	--	Past	--	N/A	No	null	1.21E-4	27230	greas	false
misdescribe	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	describe	false
poeticized	--	--	Past	--	N/A	No	null	-1.0	-1	poetice	false
dodder	--	Intransitive	--	--	N/A	No	null	2.7E-5	56460	dodd	false
actualised	--	Transitive	Past	--	N/A	No	null	-1.0	-1	actualise	false
embrace	--	Transitive	--	--	N/A	No	null	0.001026	7205	embrace	false
intersect	--	tran=np	--	--	N/A	No	null	7.7E-5	34523	intersect	false
resegregating	--	--	Present	--	N/A	No	null	-1.0	-1	resegregate	false
breech	--	Transitive	--	--	N/A	No	null	3.8E-5	48686	breech	false
metastasize	--	Intransitive	--	--	N/A	No	null	-1.0	-1	metastase	false
prearrest	--	Transitive	--	--	N/A	No	null	-1.0	-1	prear	false
isochronize	--	Transitive	--	--	N/A	No	null	-1.0	-1	isochrone	false
dialogize	--	Intransitive	--	--	N/A	No	null	-1.0	-1	dialogy	false
label	--	Transitive	--	--	N/A	No	null	0.002156	4225	label	false
evaginated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	evaginate	false
euchre	--	Transitive	--	--	N/A	No	null	-1.0	-1	euchre	false
underprop	--	--	--	--	N/A	No	null	-1.0	-1	prop	false
preshare	--	Transitive	--	--	N/A	No	null	-1.0	-1	preshare	false
nonplused	--	--	Past	--	N/A	No	null	-1.0	-1	nonpluse	false
age	--	Ambitransitive	--	--	N/A	No	null	0.022997	425	age	false
intumescing	--	Intransitive	Present	--	N/A	No	null	-1.0	-1	intumesc	false
yearn	--	Intransitive	--	--	N/A	No	null	8.8E-5	32169	yearn	false
unmysticized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	unmystice	false
co-starring	--	--	Present	--	N/A	No	null	-1.0	-1	co-star	false
dehumanized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	dehumane	false
motorise	--	Transitive	--	--	N/A	No	null	-1.0	-1	motorise	false
defect	--	Intransitive	--	--	N/A	No	null	7.97E-4	8541	defect	false
reinforce	--	Transitive	--	--	N/A	No	null	9.52E-4	7591	reinforce	false
berrying	--	--	Present	--	N/A	No	null	-1.0	-1	berrie	false
chronicled	--	--	Past	--	N/A	No	null	6.8E-5	36625	chronicl	false
nomadize	--	Intransitive	--	--	N/A	No	null	-1.0	-1	nomade	false
conceded	--	--	Past	--	N/A	No	null	0.00102	7246	concede	false
hybridise	--	Ambitransitive	--	--	N/A	No	null	1.7E-5	69067	hybridise	false
lollygagged	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	lollygag	false
scuffle	--	Intransitive	--	--	N/A	No	null	1.13E-4	28294	scuffle	false
impound	--	Transitive	--	--	N/A	No	null	1.3E-5	77624	impound	false
whistle	--	Ambitransitive	--	--	N/A	No	null	7.98E-4	8526	whistle	false
preaggravated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	aggravate	false
yeast	--	Intransitive	--	--	N/A	No	null	4.09E-4	13217	yeast	false
Mace	--	Transitive	--	--	N/A	No	null	-1.0	-1	mace	false
sparkplugging	--	Transitive	Present	--	N/A	No	null	-1.0	-1	sparkplug	false
preshape	--	Transitive	--	--	N/A	No	null	-1.0	-1	preshape	false
hepatising	--	Transitive	Present	--	N/A	No	null	-1.0	-1	hepatise	false
aid	--	Transitive	--	--	N/A	No	null	0.009056	1201	aid	false
vibrated	--	--	Past	--	N/A	No	null	7.3E-5	35506	vibrate	false
depleted	--	Transitive	Past	--	N/A	No	null	3.26E-4	15259	deplete	false
aim	--	Ambitransitive	--	--	N/A	No	null	0.006785	1600	aim	false
listen in	--	Intransitive	--	--	N/A	Seperable	null	-1.0	-1	listen in	false
ail	--	Ambitransitive	--	--	N/A	No	null	6.9E-5	36343	ail	false
confederate	--	tran=np+tran=pphr(with+np)+ditran=np+pphr(with+np)	--	--	N/A	No	null	4.7E-5	43604	confederate	false
yack	--	--	--	--	N/A	No	null	-1.0	-1	yack	false
bandsawing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	bandsawe	false
miniaturizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	miniature	false
alphabetize	--	Transitive	--	--	N/A	No	null	-1.0	-1	alphabete	false
sleeved	--	--	Past	--	N/A	No	null	3.3E-5	52142	sleev	false
air	--	Transitive	--	--	N/A	No	null	0.020072	497	air	false
defeat	--	Transitive	--	--	N/A	No	null	0.003827	2710	defeat	false
tranced	--	--	Past	--	N/A	No	null	-1.0	-1	tranc	false
overemotionalize	--	Transitive	--	--	N/A	No	null	-1.0	-1	overemotionale	false
overtroubled	--	--	Past	--	N/A	No	null	-1.0	-1	overtrouble	false
reinferred	--	Transitive	Past	--	N/A	No	null	-1.0	-1	reinf	false
pigging	--	--	Present	--	N/A	No	null	2.2E-5	61679	pig	false
reknotting	--	--	Present	--	N/A	No	null	-1.0	-1	knot	false
reviling	--	--	--	--	N/A	No	null	-1.0	-1	revi	false
unbridle	--	Transitive	--	--	N/A	No	null	-1.0	-1	bridle	false
outwaved	--	Transitive	Past	--	N/A	No	null	-1.0	-1	outwave	false
overrelax	--	--	--	--	N/A	No	null	-1.0	-1	overrelax	false
overmitigating	--	--	Present	--	N/A	No	null	-1.0	-1	mitigate	false
dislocate	--	Transitive	--	--	N/A	No	null	1.2E-5	82436	dislocate	false
palladiumized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	palladium	false
wench	--	Intransitive	--	--	N/A	No	null	1.02E-4	29795	wench	false
ake	--	Intransitive	--	--	N/A	No	null	1.1E-5	83519	ake	false
unbudded	--	Transitive	Past	--	N/A	No	null	-1.0	-1	bud	false
recodified	--	Transitive	Past	--	N/A	No	null	-1.0	-1	codify	false
resoil	--	Transitive	--	--	N/A	No	null	-1.0	-1	resoil	false
prenecessitate	--	Transitive	--	--	N/A	No	null	-1.0	-1	necessitate	false
alleging	--	Transitive	Present	--	N/A	No	null	3.05E-4	15924	allege	false
scissor	--	tran=np	--	--	N/A	No	null	2.6E-5	57714	scise	false
notarized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	notare	false
paraffining	--	Transitive	Present	--	N/A	No	null	-1.0	-1	paraffine	false
piecing	--	--	Present	--	N/A	No	null	5.5E-5	40833	piec	false
cage	--	Transitive	--	--	N/A	No	null	0.001074	6960	cage	false
attuning	--	Transitive	Present	--	N/A	No	null	-1.0	-1	attune	false
Platonised	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	platonise	false
cross-pollinated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	cross-pollinate	false
overurbanized	--	--	Past	--	N/A	No	null	-1.0	-1	overurbane	false
stack against	--	Transitive	--	--	N/A	MustBeSeperated	null	-1.0	-1	stack	false
decimate	--	Transitive	--	--	N/A	No	null	2.4E-5	59932	decimate	false
pole-jump	--	Intransitive	--	--	N/A	No	null	-1.0	-1	pole	false
complement	--	Transitive	--	--	N/A	No	null	9.04E-4	7859	complem	false
hypostasized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	hypostase	false
expense	--	Transitive	--	--	N/A	No	null	0.002879	3399	expense	false
outdistance	--	Transitive	--	--	N/A	No	null	-1.0	-1	outd	false
shackled	--	--	Past	--	N/A	No	null	5.4E-5	41140	shackl	false
poon up	--	Intransitive	--	--	N/A	NotSeperable	null	-1.0	-1	up	false
skin-pop	--	--	--	--	N/A	No	null	-1.0	-1	skin pop	false
retrying	--	--	Present	--	N/A	No	null	-1.0	-1	retrie	false
infract	--	Transitive	--	--	N/A	No	null	-1.0	-1	infract	false
outgabbling	--	Transitive	--	--	N/A	No	null	-1.0	-1	outgab	false
counterlit	--	--	--	--	N/A	No	null	-1.0	-1	counterlit	false
bogging	--	--	Present	--	N/A	No	null	-1.0	-1	bog	false
unneutralising	--	Transitive	Present	--	N/A	No	null	-1.0	-1	unneutralise	false
backsliding	--	--	Present	--	N/A	No	null	1.6E-5	71657	backslide	false
singled	--	--	Past	--	N/A	No	null	3.72E-4	14055	singl	false
resold	--	--	--	--	N/A	No	null	5.4E-5	41204	resold	false
witing	--	--	Present	--	N/A	No	null	-1.0	-1	wite	false
expertizing	--	Ambitransitive	Present	--	N/A	No	null	-1.0	-1	expert	false
overnurse	--	Transitive	--	--	N/A	No	null	-1.0	-1	nurse	false
varitype	--	--	--	--	N/A	No	null	-1.0	-1	varitype	false
window-shop	--	--	--	--	N/A	No	null	-1.0	-1	window-shop	false
rejoicing	--	--	Present	--	N/A	No	null	1.65E-4	22822	rejo	false
ration	--	Transitive	--	--	N/A	No	null	3.02E-4	16050	r	false
outdespatch	--	Transitive	--	--	N/A	No	null	-1.0	-1	outdespatch	false
troweled	--	--	Past	--	N/A	No	null	-1.0	-1	trowele	false
predemand	--	Transitive	--	--	N/A	No	null	-1.0	-1	demand	false
intercommunicating	--	--	Present	--	N/A	No	null	-1.0	-1	communicate	false
earbash	--	Intransitive	--	--	N/A	No	null	-1.0	-1	earbash	false
enlacing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	enlace	false
doodle	--	Intransitive	--	--	N/A	No	null	5.2E-5	41927	doodle	false
outwhirl	--	Transitive	--	--	N/A	No	null	-1.0	-1	outwhirl	false
yaff	--	Intransitive	--	--	N/A	No	null	-1.0	-1	yaff	false
footnoting	--	--	Present	--	N/A	No	null	-1.0	-1	footnote	false
outsophisticated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	outsophisticate	false
outbegged	--	Transitive	Past	--	N/A	No	null	-1.0	-1	outbeg	false
untie	--	Transitive	--	--	N/A	No	null	5.7E-5	39999	tie	false
overbalanced	--	--	Past	--	N/A	No	null	2.4E-5	59492	overbalanc	false
earmark	--	Transitive	--	--	N/A	No	null	1.4E-5	76267	earmark	false
outdriven	--	Transitive	--	--	N/A	No	null	-1.0	-1	outdrive	false
Baalizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	baal	false
rehone	--	Transitive	--	--	N/A	No	null	-1.0	-1	hone	false
scrapping	--	Intransitive	Present	--	N/A	No	null	1.9E-4	21061	scrap	false
revacated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	revacate	false
escribing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	escribe	false
thought	--	--	--	--	N/A	No	null	0.059851	151	think	false
droving	--	--	Present	--	N/A	No	null	-1.0	-1	drive	false
rhapsodizing	--	--	Present	--	N/A	No	null	-1.0	-1	rhapsode	false
taste	--	Transitive	--	--	N/A	No	null	0.004368	2428	taste	false
fother	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	foth	false
tickseed	--	Intransitive	Past	--	N/A	No	null	-1.0	-1	tick	false
hypnotising	--	Ambitransitive	Present	--	N/A	No	null	-1.0	-1	hypnotise	false
prelease	--	--	--	--	N/A	No	null	-1.0	-1	lease	false
cake	--	Transitive	--	--	N/A	No	null	0.002954	3350	cake	false
ape	--	Transitive	--	--	N/A	No	null	2.25E-4	19052	ape	false
broil	--	Intransitive	--	--	N/A	No	null	-1.0	-1	broil	false
resort	--	Intransitive	--	--	N/A	No	null	0.002277	4048	resort	false
dwindle	--	--	--	--	N/A	No	null	6.6E-5	36977	dwindle	false
autolyzed	--	--	Past	--	N/A	No	null	-1.0	-1	autolyze	false
broke	--	--	--	--	N/A	No	null	0.005606	1922	break	false
temporizing	--	Intransitive	Present	--	N/A	No	null	-1.0	-1	tempore	false
nail	--	Transitive	--	--	N/A	No	null	7.99E-4	8523	nail	false
subgape	--	Intransitive	--	--	N/A	No	null	-1.0	-1	gape	false
anagrammatising	--	Transitive	Present	--	N/A	No	null	-1.0	-1	anagrammatise	false
refine	--	Ambitransitive	--	--	N/A	No	null	1.82E-4	21573	fine	false
refind	--	Transitive	--	--	N/A	No	null	-1.0	-1	find	false
paginating	--	Transitive	Present	--	N/A	No	null	-1.0	-1	paginate	false
outbanter	--	Transitive	--	--	N/A	No	null	-1.0	-1	outbant	false
preclothed	--	Transitive	Past	--	N/A	No	null	-1.0	-1	precloth	false
coexist	--	Intransitive	--	--	N/A	No	null	1.08E-4	28780	coex	false
precontrived	--	--	Past	--	N/A	No	null	-1.0	-1	precontr	false
empurpled	--	Transitive	Past	--	N/A	No	null	-1.0	-1	empurpl	false
fulgurate	--	Intransitive	--	--	N/A	No	null	-1.0	-1	fulgurate	false
steam-lancing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	steam	false
self-igniting	--	Intransitive	Present	--	N/A	No	null	-1.0	-1	ignite	false
aggrandised	--	Transitive	Past	--	N/A	No	null	-1.0	-1	aggrandise	false
prenoted	--	Transitive	Past	--	N/A	No	null	-1.0	-1	note	false
overdominated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	dominate	false
repinning	--	Transitive	Present	--	N/A	No	null	-1.0	-1	pin	false
undertuning	--	Transitive	Present	--	N/A	No	null	-1.0	-1	tune	false
preremunerating	--	Transitive	Present	--	N/A	No	null	-1.0	-1	preremunerate	false
cried	--	--	Past	--	N/A	No	null	0.003141	3191	cry	false
mandating	--	--	Present	--	N/A	No	null	1.1E-5	83727	mandate	false
arc	--	--	--	--	N/A	No	null	9.44E-4	7635	arc	false
mythicise	--	Transitive	--	--	N/A	No	null	-1.0	-1	mythicise	false
varying	--	--	Present	--	N/A	No	null	0.001872	4708	varie	false
zincifying	--	Transitive	Present	--	N/A	No	null	-1.0	-1	zincifie	false
are	Auxilary	--	Present	--	First/Second/Third	No	false	0.495529	21	be	false
flamming	--	--	Present	--	N/A	No	null	-1.0	-1	flam	false
desterilizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	desterile	false
overspend	--	Transitive	--	--	N/A	No	null	7.0E-5	35898	overspend	false
came	--	--	--	--	N/A	No	null	0.049633	177	come	false
stirred	--	--	Past	--	N/A	No	null	0.001	7362	stir	false
arm	--	Transitive	--	--	N/A	No	null	0.009674	1111	arm	false
coarsen	--	tran=np	--	--	N/A	No	null	-1.0	-1	coars	false
art	--	--	--	--	N/A	No	null	0.016401	622	art	false
alphabetise	--	Transitive	--	--	N/A	No	null	-1.0	-1	alphabetise	false
rotary wing	--	Intransitive	Present	--	N/A	NotSeperable	null	-1.0	-1	rotary w	false
refile	--	tran=np+tran=np;part(away)+tran=np;part(down)+cplxtran=np,advbl	--	--	N/A	No	null	-1.0	-1	file	false
crick	--	Transitive	--	--	N/A	No	null	1.13E-4	28310	crick	false
esquiring	--	--	Present	--	N/A	No	null	-1.0	-1	esquir	false
air-dry	--	tran=np	--	--	N/A	No	null	-1.0	-1	air	false
holden	--	--	--	--	N/A	No	null	2.25E-4	19100	hold	false
call	--	Ambitransitive	--	--	N/A	No	null	0.020501	483	call	false
refilm	--	Transitive	--	--	N/A	No	null	-1.0	-1	film	false
calm	--	Ambitransitive	--	--	N/A	No	null	0.003121	3204	calm	false
refill	--	tran=np	--	--	N/A	No	null	1.49E-4	24091	fill	false
scrawl	--	tran=np+ditran=np+pphr(on+np)	--	--	N/A	No	null	4.7E-5	43864	scrawl	false
resorb	--	Transitive	--	--	N/A	No	null	-1.0	-1	resorb	false
calk	--	Transitive	--	--	N/A	No	null	-1.0	-1	calk	false
ask	--	Transitive	--	--	N/A	No	null	0.020414	485	ask	false
rapture	--	Transitive	--	--	N/A	No	null	1.09E-4	28586	rapture	false
disregard	--	Transitive	--	--	N/A	No	null	4.9E-4	11815	disregard	false
hyperoxygenize	--	Transitive	--	--	N/A	No	null	-1.0	-1	oxygene	false
mythicize	--	Transitive	--	--	N/A	No	null	-1.0	-1	mythice	false
cant	--	Intransitive	--	--	N/A	No	null	1.06E-4	29183	cant	false
mitch	--	Intransitive	--	--	N/A	No	null	4.31E-4	12774	mitch	false
reglorifying	--	Transitive	Present	--	N/A	No	null	-1.0	-1	reglorifie	false
overvaluing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	overvalu	false
presurmising	--	--	Present	--	N/A	No	null	-1.0	-1	presurmise	false
scrutinize	--	Transitive	--	--	N/A	No	null	5.2E-5	41894	scrutine	false
mother	--	Transitive	--	--	N/A	No	null	0.027624	331	moth	false
play with	--	Intransitive	--	--	N/A	Seperable	null	-1.0	-1	play	false
ate	--	--	--	--	N/A	No	null	0.001848	4750	eat	false
embrocate	--	Transitive	--	--	N/A	No	null	-1.0	-1	embrocate	false
preentertain	--	Transitive	--	--	N/A	No	null	-1.0	-1	entertain	false
rewriting	--	--	Present	--	N/A	No	null	1.33E-4	25809	rewrite	false
dynamiting	--	--	Present	--	N/A	No	null	-1.0	-1	dynamite	false
delocalized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	delocale	false
clam up	--	Intransitive	--	--	N/A	NotSeperable	null	-1.0	-1	clam up	false
ingurgitating	--	--	Present	--	N/A	No	null	-1.0	-1	ingurgitate	false
depredate	--	Transitive	--	--	N/A	No	null	-1.0	-1	depredate	false
remention	--	Transitive	--	--	N/A	No	null	-1.0	-1	re	false
baronize	--	Transitive	--	--	N/A	No	null	-1.0	-1	barone	false
piala	--	Intransitive	--	--	N/A	No	null	-1.0	-1	piala	false
reexchanged	--	--	Past	--	N/A	No	null	-1.0	-1	reexchang	false
resown	--	Transitive	--	--	N/A	No	null	-1.0	-1	resown	false
conglutinating	--	--	Present	--	N/A	No	null	-1.0	-1	conglutinate	false
consecrate	--	Transitive	--	--	N/A	No	null	2.2E-5	62510	consecrate	false
discreated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	discreat	false
flense	--	Transitive	--	--	N/A	No	null	-1.0	-1	flense	false
refire	--	tran=np+tran=pphr(at+np)+ditran=np+pphr(at+np)+ditran=np+pphr(with+np)	--	--	N/A	No	null	-1.0	-1	fire	false
camp	--	Intransitive	--	--	N/A	No	null	0.003651	2830	camp	false
goggling	--	--	--	--	N/A	No	null	1.1E-5	85018	gog	false
defibrillated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	defibrillate	false
volunteer	--	Ambitransitive	--	--	N/A	No	null	9.8E-4	7461	volunte	false
subintroduced	--	Transitive	Past	--	N/A	No	null	-1.0	-1	introduce	false
name	--	Transitive	--	--	N/A	No	null	0.027677	330	name	false
cane	--	Transitive	--	--	N/A	No	null	4.97E-4	11719	cane	false
outcrossing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	outcros	false
fobbing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	fob	false
interarch	--	Intransitive	--	--	N/A	No	null	-1.0	-1	arch	false
underrealized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	underreal	false
pirouette	--	Intransitive	--	--	N/A	No	null	3.7E-5	49282	pirou	false
preballoted	--	Transitive	Past	--	N/A	No	null	-1.0	-1	preballote	false
hopple	--	--	--	--	N/A	No	null	-1.0	-1	hopple	false
etymologizing	--	--	Present	--	N/A	No	null	-1.0	-1	etymology	false
mythify	--	Transitive	--	--	N/A	No	null	-1.0	-1	mythify	false
attrite	--	Transitive	--	--	N/A	No	null	-1.0	-1	attrite	false
bituminized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	bitumine	false
defend	--	Transitive	--	--	N/A	No	null	0.002177	4200	defend	false
relighted	--	--	Past	--	N/A	No	null	-1.0	-1	light	false
