Word	VerbType	Transivity	Tense	Aspect	Person	Phrasal	IsInfinitive	howCommon	commonRank	baseForm
overactivate	--	Transitive	--	--	N/A	No	null	-1.0	-1	activate	false
overmobilize	--	--	--	--	N/A	No	null	-1.0	-1	overmobile	false
incardinate	--	Transitive	--	--	N/A	No	null	-1.0	-1	incardinate	false
mispronounce	--	tran=np	--	--	N/A	No	null	-1.0	-1	mispronounce	false
reding	--	--	Present	--	N/A	No	null	-1.0	-1	rede	false
conducing	--	Intransitive	Present	--	N/A	No	null	-1.0	-1	conduce	false
harness	--	Transitive	--	--	N/A	No	null	5.47E-4	11034	har	false
sketch	--	Transitive	--	--	N/A	No	null	8.15E-4	8414	sketch	false
unbuild	--	Transitive	--	--	N/A	No	null	-1.0	-1	build	false
empaled	--	Transitive	Past	--	N/A	No	null	-1.0	-1	empale	false
fatten	--	Transitive	--	--	N/A	No	null	6.4E-5	37645	fatt	false
disfigured	--	Transitive	Past	--	N/A	No	null	1.0E-4	30047	disfigure	false
strum	--	tran=np+tran=pphr(on+np)	--	--	N/A	No	null	2.1E-5	63660	strum	false
reattired	--	Transitive	Past	--	N/A	No	null	-1.0	-1	attire	false
marver	--	Transitive	--	--	N/A	No	null	-1.0	-1	marv	false
circumscribed	--	Transitive	Past	--	N/A	No	null	1.39E-4	25146	circumscribe	false
autotomizing	--	--	Present	--	N/A	No	null	-1.0	-1	autotome	false
disenthroning	--	Transitive	Present	--	N/A	No	null	-1.0	-1	disenthrone	false
overflogging	--	Transitive	Present	--	N/A	No	null	-1.0	-1	flog	false
recatalogue	--	Transitive	--	--	N/A	No	null	-1.0	-1	catalogue	false
hemorrhaging	--	--	Present	--	N/A	No	null	-1.0	-1	hemorrh	false
rectify	--	tran=np	--	--	N/A	No	null	2.46E-4	18131	rectify	false
subsoil	--	Transitive	--	--	N/A	No	null	6.7E-5	36668	soil	false
reassert	--	Transitive	--	--	N/A	No	null	1.32E-4	25944	assert	false
styling	--	--	--	--	N/A	No	null	4.16E-4	13099	sty	false
palsy	--	Transitive	--	--	N/A	No	null	1.22E-4	26991	palsy	false
recapitalized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	recapitale	false
strut	--	Transitive	--	--	N/A	No	null	1.03E-4	29694	strut	false
outbellow	--	Transitive	--	--	N/A	No	null	-1.0	-1	outbellow	false
defined	--	Transitive	Past	--	N/A	No	null	0.006206	1744	define	false
motorcycling	--	--	--	--	N/A	No	null	4.1E-5	47017	motorcyc	false
reflectorized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	reflectore	false
cabbing	--	--	Present	--	N/A	No	null	-1.0	-1	cab	false
riling	--	Transitive	--	--	N/A	No	null	-1.0	-1	ri	false
individuating	--	Transitive	Present	--	N/A	No	null	1.5E-5	74542	individuat	false
