Word,VerbType,Transivity,Tense,Aspect,Person,Phrasal,IsInfinitive
precompiled,--,Transitive,Past,--,N/A,No,null
average,--,Ambitransitive,--,--,N/A,No,null
unmysticise,--,Transitive,--,--,N/A,No,null
compare,--,Ambitransitive,--,--,N/A,No,null
edulcorate,--,Transitive,--,--,N/A,No,null
proselytising,--,Ambitransitive,--,--,N/A,No,null
unlatch,--,tran=np,--,--,N/A,No,null
outflamed,--,Transitive,Past,--,N/A,No,null
housebroken,--,Transitive,--,--,N/A,No,null
pluralise,--,Ambitransitive,--,--,N/A,No,null
decarbonize,--,Transitive,--,--,N/A,No,null
proportionated,--,--,Past,--,N/A,No,null
tittivating,--,Ambitransitive,--,--,N/A,No,null
overbrowsing,--,Transitive,--,--,N/A,No,null
compart,--,Transitive,--,--,N/A,No,null
psyched,--,Transitive,Past,--,N/A,No,null
override,--,tran=np,--,--,N/A,No,null
uncore,--,Transitive,--,--,N/A,No,null
overturing,--,--,--,--,N/A,No,null
uncork,--,Transitive,--,--,N/A,No,null
catheterised,--,Transitive,Past,--,N/A,No,null
locoing,--,--,--,--,N/A,No,null
quasi-adopt,--,Transitive,--,--,N/A,No,null
precolour,--,--,--,--,N/A,No,null
preinvestigated,--,--,Past,--,N/A,No,null
withdrawing,--,--,--,--,N/A,No,null
uprose,--,--,--,--,N/A,No,null
rehospitalized,--,Transitive,Past,--,N/A,No,null
misemphasized,--,Transitive,Past,--,N/A,No,null
outpace,--,Transitive,--,--,N/A,No,null
inscribed,--,Transitive,Past,--,N/A,No,null
taught,--,--,--,--,N/A,No,null
grumble,--,Intransitive,--,--,N/A,No,null
predeserving,--,Transitive,--,--,N/A,No,null
prediscipline,--,Transitive,--,--,N/A,No,null
backspacing,--,--,--,--,N/A,No,null
borrow,--,Intransitive,--,--,N/A,No,null
astrict,--,--,--,--,N/A,No,null
ammonified,--,--,Past,--,N/A,No,null
desert,--,Transitive,--,--,N/A,No,null
intertraded,--,--,Past,--,N/A,No,null
re-treat,--,Ambitransitive,--,--,N/A,No,null
wainscot,--,--,--,--,N/A,No,null
disembogue,--,Intransitive,--,--,N/A,No,null
misbehaved,--,--,Past,--,N/A,No,null
disorganised,--,Transitive,Past,--,N/A,No,null
uncoop,--,Transitive,--,--,N/A,No,null
overslept,--,--,--,--,N/A,No,null
retrieved,--,--,Past,--,N/A,No,null
besiege,--,Transitive,--,--,N/A,No,null
outfeeding,--,Transitive,--,--,N/A,No,null
pipetting,--,--,--,--,N/A,No,null
transilluminate,--,Transitive,--,--,N/A,No,null
skylined,--,--,Past,--,N/A,No,null
gliming,--,--,--,--,N/A,No,null
strewing,--,Transitive,--,--,N/A,No,null
reconvene,--,tran=np,--,--,N/A,No,null
overlubricated,--,Transitive,Past,--,N/A,No,null
stray,--,Intransitive,--,--,N/A,No,null
journey,--,Intransitive,--,--,N/A,No,null
misauthorizing,--,Transitive,--,--,N/A,No,null
predistribute,--,Transitive,--,--,N/A,No,null
strap,--,Transitive,--,--,N/A,No,null
straw,--,Transitive,--,--,N/A,No,null
acceded,--,Intransitive,Past,--,N/A,No,null
retroact,--,Intransitive,--,--,N/A,No,null
outrated,--,Transitive,Past,--,N/A,No,null
cudgeled,--,--,Past,--,N/A,No,null
preexecute,--,Transitive,--,--,N/A,No,null
slurrying,--,--,--,--,N/A,No,null
preconsider,--,Transitive,--,--,N/A,No,null
impersonated,--,--,Past,--,N/A,No,null
